example_id                              | status | run_time        |
--------------------------------------- | ------ | --------------- |
./spec/nilify_blanks_spec.rb[1:1:1]     | passed | 0.00172 seconds |
./spec/nilify_blanks_spec.rb[1:1:2]     | passed | 0.00248 seconds |
./spec/nilify_blanks_spec.rb[1:1:3]     | passed | 0.00081 seconds |
./spec/nilify_blanks_spec.rb[1:1:4]     | passed | 0.00052 seconds |
./spec/nilify_blanks_spec.rb[1:1:5]     | passed | 0.00158 seconds |
./spec/nilify_blanks_spec.rb[1:2:1]     | passed | 0.00014 seconds |
./spec/nilify_blanks_spec.rb[1:3:1]     | passed | 0.00037 seconds |
./spec/nilify_blanks_spec.rb[1:3:2]     | passed | 0.00026 seconds |
./spec/nilify_blanks_spec.rb[1:3:3]     | passed | 0.00033 seconds |
./spec/nilify_blanks_spec.rb[1:4:1]     | passed | 0.00032 seconds |
./spec/nilify_blanks_spec.rb[1:4:2]     | passed | 0.00016 seconds |
./spec/nilify_blanks_spec.rb[1:4:3]     | passed | 0.00022 seconds |
./spec/nilify_blanks_spec.rb[1:5:1]     | passed | 0.0002 seconds  |
./spec/nilify_blanks_spec.rb[1:5:2]     | passed | 0.00016 seconds |
./spec/nilify_blanks_spec.rb[1:5:3]     | passed | 0.00028 seconds |
./spec/nilify_blanks_spec.rb[1:6:1:1]   | passed | 0.00091 seconds |
./spec/nilify_blanks_spec.rb[1:6:2:1]   | passed | 0.00023 seconds |
./spec/nilify_blanks_spec.rb[1:6:3:1]   | passed | 0.00047 seconds |
./spec/nilify_blanks_spec.rb[1:6:4:1]   | passed | 0.00041 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:1]   | passed | 0.00067 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:2]   | passed | 0.00072 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:3]   | passed | 0.00072 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:4]   | passed | 0.00087 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:5]   | passed | 0.00051 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:6]   | passed | 0.00036 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:7]   | passed | 0.00041 seconds |
./spec/nilify_blanks_spec.rb[1:7:1:8]   | passed | 0.00171 seconds |
./spec/nilify_blanks_spec.rb[1:7:2:1:1] | passed | 0.00149 seconds |
